iter	Passed	Remaining
0	145	144890
1	145	72779
2	146	48653
3	147	36622
4	148	29605
5	150	24976
6	152	21632
7	153	19092
8	154	17064
9	157	15566
10	159	14307
11	160	13226
12	161	12283
13	162	11450
14	163	10717
15	164	10090
16	165	9572
17	166	9090
18	168	8678
19	169	8303
20	170	7954
21	171	7629
22	172	7332
23	173	7053
24	174	6803
25	175	6586
26	176	6370
27	177	6173
28	179	5994
29	179	5819
30	180	5656
31	181	5488
32	182	5340
33	182	5192
34	183	5061
35	184	4934
36	185	4818
37	185	4706
38	186	4601
39	187	4499
40	188	4401
41	188	4305
42	189	4214
43	189	4127
44	190	4043
45	191	3963
46	191	3885
47	192	3811
48	192	3740
49	193	3681
50	194	3616
51	194	3551
52	195	3490
53	195	3432
54	196	3375
55	196	3319
56	197	3266
57	197	3215
58	198	3169
59	199	3124
60	200	3086
61	201	3043
62	201	3000
63	202	2957
64	202	2917
65	203	2877
66	203	2839
67	204	2801
68	204	2764
69	205	2729
70	205	2694
71	206	2661
72	207	2634
73	208	2602
74	208	2571
75	209	2541
76	209	2511
77	209	2482
78	210	2454
79	211	2426
80	211	2399
81	212	2373
82	212	2345
83	212	2320
84	213	2300
85	214	2277
86	214	2254
87	215	2232
88	215	2210
89	216	2189
90	217	2168
91	217	2148
92	218	2127
93	218	2108
94	219	2088
95	220	2072
96	220	2054
97	221	2037
98	222	2021
99	222	2004
100	223	1987
101	223	1970
102	224	1953
103	224	1937
104	225	1920
105	225	1904
106	226	1892
107	227	1878
108	227	1863
109	228	1848
110	229	1834
111	229	1820
112	230	1806
113	230	1793
114	231	1780
115	231	1767
116	232	1753
117	233	1741
118	233	1729
119	234	1716
120	234	1704
121	234	1691
122	235	1679
123	235	1667
124	236	1655
125	237	1644
126	237	1633
127	238	1622
128	238	1611
129	239	1601
130	239	1590
131	240	1581
132	240	1570
133	241	1560
134	242	1550
135	242	1540
136	243	1531
137	243	1522
138	244	1514
139	245	1506
140	246	1500
141	246	1489
142	247	1481
143	247	1472
144	248	1463
145	248	1454
146	249	1446
147	249	1437
148	250	1429
149	250	1421
150	251	1413
151	251	1405
152	252	1399
153	253	1391
154	253	1383
155	254	1375
156	254	1368
157	255	1360
158	255	1353
159	256	1345
160	256	1337
161	257	1330
162	257	1323
163	258	1316
164	259	1312
165	260	1306
166	260	1300
167	261	1293
168	261	1287
169	262	1280
170	262	1274
171	263	1267
172	263	1261
173	264	1255
174	264	1249
175	265	1244
176	266	1238
177	267	1233
178	267	1228
179	268	1222
180	268	1216
181	269	1210
182	269	1204
183	270	1199
184	270	1193
185	271	1187
186	272	1183
187	272	1178
188	273	1173
189	274	1168
190	274	1162
191	275	1157
192	275	1152
193	276	1147
194	276	1142
195	277	1137
196	277	1132
197	278	1127
198	278	1122
199	279	1118
200	280	1113
201	280	1108
202	281	1103
203	281	1098
204	282	1094
205	282	1089
206	283	1084
207	283	1080
208	284	1075
209	284	1071
210	285	1066
211	285	1062
212	286	1058
213	287	1054
214	287	1049
215	288	1045
216	288	1041
217	289	1037
218	289	1033
219	290	1030
220	291	1027
221	292	1024
222	292	1020
223	293	1016
224	293	1012
225	294	1008
226	294	1004
227	295	1000
228	295	996
229	296	992
